,Country Name,Country Code,Indicator Name,2000
58917,China,CHN,Access to clean fuels and technologies for cooking (% of population),46.78
58918,China,CHN,Access to electricity (% of population),96.90710449
58919,China,CHN,"Access to electricity, rural (% of rural population)",95.1766207
58920,China,CHN,"Access to electricity, urban (% of urban population)",100.0
58921,China,CHN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),
58922,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",
58923,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",
58924,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",
58925,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",
58926,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",
58927,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",
58928,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",
58929,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",
58930,China,CHN,Adequacy of social insurance programs (% of total welfare of beneficiary households),
58931,China,CHN,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),
58932,China,CHN,Adequacy of social safety net programs (% of total welfare of beneficiary households),
58933,China,CHN,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),
58934,China,CHN,"Adjusted net enrollment rate, primary (% of primary school age children)",
58935,China,CHN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",
58936,China,CHN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",
58937,China,CHN,Adjusted net national income (annual % growth),8.774227355
58938,China,CHN,Adjusted net national income (constant 2010 US$),1544580000000.0
58939,China,CHN,Adjusted net national income (current US$),999658000000.0
58940,China,CHN,Adjusted net national income per capita (annual % growth),7.920501571
58941,China,CHN,Adjusted net national income per capita (constant 2010 US$),1223.287227
58942,China,CHN,Adjusted net national income per capita (current US$),791.7176555
58943,China,CHN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",17.377179199999997
58944,China,CHN,"Adjusted net savings, excluding particulate emission damage (current US$)",207949000000.0
58945,China,CHN,"Adjusted net savings, including particulate emission damage (% of GNI)",16.87993857
58946,China,CHN,"Adjusted net savings, including particulate emission damage (current US$)",201999000000.0
58947,China,CHN,Adjusted savings: carbon dioxide damage (% of GNI),4.1262473139999996
58948,China,CHN,Adjusted savings: carbon dioxide damage (current US$),49378031177.0
58949,China,CHN,Adjusted savings: consumption of fixed capital (% of GNI),14.69567555
58950,China,CHN,Adjusted savings: consumption of fixed capital (current US$),175860000000.0
58951,China,CHN,Adjusted savings: education expenditure (% of GNI),1.79
58952,China,CHN,Adjusted savings: education expenditure (current US$),21420595779.0
58953,China,CHN,Adjusted savings: energy depletion (% of GNI),1.738456175
58954,China,CHN,Adjusted savings: energy depletion (current US$),20803780453.0
58955,China,CHN,Adjusted savings: gross savings (% of GNI),36.17754145
58956,China,CHN,Adjusted savings: mineral depletion (% of GNI),0.029983212000000002
58957,China,CHN,Adjusted savings: mineral depletion (current US$),358803500.4
58958,China,CHN,Adjusted savings: natural resources depletion (% of GNI),1.768439387
58959,China,CHN,Adjusted savings: net forest depletion (% of GNI),0.0
58960,China,CHN,Adjusted savings: net forest depletion (current US$),0.0
58961,China,CHN,Adjusted savings: net national savings (% of GNI),21.4818659
58962,China,CHN,Adjusted savings: net national savings (current US$),257069000000.0
58963,China,CHN,Adjusted savings: particulate emission damage (% of GNI),0.49724063
58964,China,CHN,Adjusted savings: particulate emission damage (current US$),5950385782.0
58965,China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",9.911
58966,China,CHN,Adolescents out of school (% of lower secondary school age),
58967,China,CHN,"Adolescents out of school, female (% of female lower secondary school age)",
58968,China,CHN,"Adolescents out of school, male (% of male lower secondary school age)",
58969,China,CHN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,
58970,China,CHN,Adults (ages 15-49) newly infected with HIV,
58971,China,CHN,Age dependency ratio (% of working-age population),46.20005635
58972,China,CHN,"Age dependency ratio, old (% of working-age population)",9.958932541
58973,China,CHN,"Age dependency ratio, young (% of working-age population)",36.24112381
58974,China,CHN,Agricultural irrigated land (% of total agricultural land),
58975,China,CHN,Agricultural land (% of land area),55.60191389
58976,China,CHN,Agricultural land (sq. km),5220030.0
58977,China,CHN,"Agricultural machinery, tractors",989139.0
58978,China,CHN,"Agricultural machinery, tractors per 100 sq. km of arable land",83.7047474
58979,China,CHN,Agricultural methane emissions (% of total),46.55594603
58980,China,CHN,Agricultural methane emissions (thousand metric tons of CO2 equivalent),485764.7409
58981,China,CHN,Agricultural nitrous oxide emissions (% of total),73.29938612
58982,China,CHN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),303560.8316
58983,China,CHN,Agricultural raw materials exports (% of merchandise exports),1.0853117209999998
58984,China,CHN,Agricultural raw materials imports (% of merchandise imports),4.807262363
58985,China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",14.67624166
58986,China,CHN,"Agriculture, forestry, and fishing, value added (annual % growth)",2.303120357
58987,China,CHN,"Agriculture, forestry, and fishing, value added (constant 2010 US$)",381566000000.0
58988,China,CHN,"Agriculture, forestry, and fishing, value added (constant LCU)",3179680000000.0
58989,China,CHN,"Agriculture, forestry, and fishing, value added (current LCU)",1471740000000.0
58990,China,CHN,"Agriculture, forestry, and fishing, value added (current US$)",177780000000.0
58991,China,CHN,"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",1073.3876890000001
58992,China,CHN,"Air transport, freight (million ton-km)",3900.08
58993,China,CHN,"Air transport, passengers carried",61891807.0
58994,China,CHN,"Air transport, registered carrier departures worldwide",572921.0
58995,China,CHN,Alternative and nuclear energy (% of total energy use),1.997142849
58996,China,CHN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",68.83
58997,China,CHN,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",10.46
58998,China,CHN,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",20.72
58999,China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",
59000,China,CHN,"Annual freshwater withdrawals, total (billion cubic meters)",549.8
59001,China,CHN,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
59002,China,CHN,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
59003,China,CHN,Antiretroviral therapy coverage (% of people living with HIV),
59004,China,CHN,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),
59005,China,CHN,Aquaculture production (metric tons),28500000.0
59006,China,CHN,Arable land (% of land area),12.58705058
59007,China,CHN,Arable land (hectares per person),0.093589251
59008,China,CHN,Arable land (hectares),118170000.0
59009,China,CHN,ARI treatment (% of children under 5 taken to a health provider),
59010,China,CHN,Armed forces personnel (% of total labor force),0.5321365339999999
59011,China,CHN,"Armed forces personnel, total",3910000.0
59012,China,CHN,Arms exports (SIPRI trend indicator values),299000000.0
59013,China,CHN,Arms imports (SIPRI trend indicator values),2521000000.0
59014,China,CHN,"Automated teller machines (ATMs) (per 100,000 adults)",
59015,China,CHN,Average number of visits or required meetings with tax officials (for affected firms),
59016,China,CHN,Average precipitation in depth (mm per year),
59017,China,CHN,Average time to clear exports through customs (days),
59018,China,CHN,Average transaction cost of sending remittances from a specific country (%),
59019,China,CHN,Average transaction cost of sending remittances to a specific country (%),
59020,China,CHN,"Average working hours of children, study and work, ages 7-14 (hours per week)",
59021,China,CHN,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",
59022,China,CHN,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",
59023,China,CHN,"Average working hours of children, working only, ages 7-14 (hours per week)",
59024,China,CHN,"Average working hours of children, working only, female, ages 7-14 (hours per week)",
59025,China,CHN,"Average working hours of children, working only, male, ages 7-14 (hours per week)",
59026,China,CHN,Bank capital to assets ratio (%),
59027,China,CHN,Bank liquid reserves to bank assets ratio (%),
59028,China,CHN,Bank nonperforming loans to total gross loans (%),
59029,China,CHN,Battle-related deaths (number of people),
59030,China,CHN,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),
59031,China,CHN,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),
59032,China,CHN,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),
59033,China,CHN,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),
59034,China,CHN,"Binding coverage, all products (%)",
59035,China,CHN,"Binding coverage, manufactured products (%)",
59036,China,CHN,"Binding coverage, primary products (%)",
59037,China,CHN,"Bird species, threatened",
59038,China,CHN,"Birth rate, crude (per 1,000 people)",14.03
59039,China,CHN,Births attended by skilled health staff (% of total),96.6
59040,China,CHN,"Borrowers from commercial banks (per 1,000 adults)",
59041,China,CHN,"Bound rate, simple mean, all products (%)",
59042,China,CHN,"Bound rate, simple mean, manufactured products (%)",
59043,China,CHN,"Bound rate, simple mean, primary products (%)",
59044,China,CHN,Bribery incidence (% of firms experiencing at least one bribe payment request),
59045,China,CHN,Broad money (% of GDP),135.58041599999999
59046,China,CHN,Broad money (current LCU),13596000000000.0
59047,China,CHN,Broad money growth (annual %),12.32478198
59048,China,CHN,Broad money to total reserves ratio,9.561711115
59049,China,CHN,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",
59050,China,CHN,Business extent of disclosure index (0=less disclosure to 10=more disclosure),
59051,China,CHN,Capture fisheries production (metric tons),14800000.0
59052,China,CHN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.9
59053,China,CHN,"Cause of death, by injury (% of total)",9.5
59054,China,CHN,"Cause of death, by non-communicable diseases (% of total)",81.6
59055,China,CHN,"Central government debt, total (% of GDP)",
59056,China,CHN,"Central government debt, total (current LCU)",
59057,China,CHN,Cereal production (metric tons),405224140.0
59058,China,CHN,Cereal yield (kg per hectare),4752.6
59059,China,CHN,Changes in inventories (constant LCU),
59060,China,CHN,Changes in inventories (current LCU),99840000000.0
59061,China,CHN,Changes in inventories (current US$),12060301508.0
59062,China,CHN,"Charges for the use of intellectual property, payments (BoP, current US$)",1280970000.0
59063,China,CHN,"Charges for the use of intellectual property, receipts (BoP, current US$)",80348000.0
59064,China,CHN,Chemicals (% of value added in manufacturing),12.02819315
59065,China,CHN,Child employment in agriculture (% of economically active children ages 7-14),
59066,China,CHN,"Child employment in agriculture, female (% of female economically active children ages 7-14)",
59067,China,CHN,"Child employment in agriculture, male (% of male economically active children ages 7-14)",
59068,China,CHN,Child employment in manufacturing (% of economically active children ages 7-14),
59069,China,CHN,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",
59070,China,CHN,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",
59071,China,CHN,Child employment in services (% of economically active children ages 7-14),
59072,China,CHN,"Child employment in services, female (% of female economically active children ages 7-14)",
59073,China,CHN,"Child employment in services, male (% of male economically active children ages 7-14)",
59074,China,CHN,Children (0-14) living with HIV,
59075,China,CHN,Children (ages 0-14) newly infected with HIV,
59076,China,CHN,"Children in employment, female (% of female children ages 7-14)",
59077,China,CHN,"Children in employment, male (% of male children ages 7-14)",
59078,China,CHN,"Children in employment, self-employed (% of children in employment, ages 7-14)",
59079,China,CHN,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",
59080,China,CHN,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",
59081,China,CHN,"Children in employment, study and work (% of children in employment, ages 7-14)",
59082,China,CHN,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",
