Country_Name,year,Access_to_electricity_(%_of_population),GDP_per_capita_(current_US$),Imports_of_goods_and_services_(current_US$),Land_area_(sq._km),"Life_expectancy_at_birth,_total_(years)",Population_growth_(annual_%),Population_in_largest_city,"Population,_total","Primary_education,_duration_(years)",Progression_to_secondary_school_(%),Rural_population_(%_of_total_population)
France,1960,,1334.6900560000001,7703448807.0,,69.86829268,,7410735.0,46621669.0,,,38.12
France,1961,,1428.0454869999999,8273434930.0,547566.0156,70.11707317,1.318705271,7539888.0,47240543.0,,,37.393
France,1962,,1578.284604,9042716900.0,547566.0156,70.31463415,1.396482976,7650751.0,47904877.0,,,36.510999999999996
France,1963,,1744.6405899999997,10367369963.0,547566.0156,70.51463415,1.4048353009999999,7718298.0,48582611.0,,,35.298
France,1964,,1909.541232,12137117085.0,547566.0156,70.66341463,1.32496113,7786535.0,49230595.0,,,34.102
France,1965,,2038.162734,12575567948.0,547566.0156,70.81219512,1.186164673,7855185.0,49818028.0,,,32.929
France,1966,,2186.474852,14294826788.0,547566.0156,70.96097561,1.022959986,7924537.0,50330262.0,,,31.775
France,1967,,2343.1042260000004,15606193462.0,547566.0156,71.16097561,0.8813218540000001,7994501.0,50775794.0,,,30.643
France,1968,,2536.0850649999998,17377269223.0,547566.0156,71.3097561,0.7841313259999999,8065180.0,51175508.0,,,29.761999999999997
France,1969,,2752.0949539999997,20853686819.0,547566.0156,71.45853659,0.752072822,8136287.0,51561836.0,,,29.351999999999997
France,1970,,2857.252176,22918389040.0,547566.0156,71.65853659,0.764887093,8208121.0,51957738.0,5.0,,28.945
France,1971,,3169.0349920000003,25770095892.0,547566.0156,71.90731707,0.792887595,8280588.0,52371342.0,5.0,,28.541
France,1972,,3854.5567840000003,32248374512.0,547566.0156,72.10731707,0.802168682,8353797.0,52793138.0,5.0,,28.14
France,1973,,4969.763911999999,44639068945.0,547566.0156,72.35609756,0.782254158,8427449.0,53207734.0,5.0,,27.744
France,1974,,5328.241747,62037643208.0,547566.0156,72.60487805,0.7200389140000001,8501853.0,53592233.0,5.0,,27.35
France,1975,,6690.57827,64439345265.0,547566.0156,72.85365854,0.630853231,8557844.0,53931390.0,5.0,,27.074
France,1976,,6866.818286,75449330784.0,547566.0156,73.10243902,0.533756666,8580055.0,54220022.0,5.0,100.0,27.003
France,1977,,7532.527928,83706873496.0,547566.0156,73.35121951,0.455765232,8602261.0,54467702.0,5.0,97.99243,26.932
France,1978,,9264.777834,97265988372.0,547566.0156,73.60243902,0.410681995,8624556.0,54691851.0,5.0,98.6041,26.86
France,1979,,11179.63127,124741000000.0,547566.0156,73.85121951,0.41103811,8646908.0,54917118.0,5.0,97.86309,26.789
France,1980,,12713.36125,157931000000.0,547566.0156,74.05121951,0.444063245,8669349.0,55161527.0,5.0,,26.718000000000004
France,1981,,11104.97773,144292000000.0,547566.0156,74.3,0.48605678399999996,8691787.0,55430296.0,5.0,,26.648000000000003
France,1982,,10496.92987,139515000000.0,547566.0156,74.5,0.519369592,8731086.0,55718933.0,5.0,,26.575
France,1983,,9993.422074,127110000000.0,547566.0156,74.8,0.545606555,8805496.0,56023770.0,5.0,,26.5
France,1984,,9419.697648000001,125806000000.0,547566.0156,75.0,0.5587269579999999,8880643.0,56337666.0,5.0,,26.425
France,1985,,9763.328609999999,131051000000.0,547566.0156,75.3,0.5611544470000001,8956222.0,56654696.0,5.0,97.81904,26.35
France,1986,,13540.247080000001,158186000000.0,547566.0156,75.6,0.565740633,9032550.0,56976123.0,5.0,96.13982,26.275
France,1987,,16302.4414,193331000000.0,547566.0156,75.8,0.5714812,9109528.0,57302663.0,5.0,,26.2
France,1988,,17679.997,214218000000.0,547566.0156,76.1,0.56459326,9187270.0,57627105.0,5.0,97.71185,26.125
France,1989,,17694.30535,229070000000.0,547566.0156,76.34878049,0.541862136,9265459.0,57940212.0,5.0,97.87749000000001,26.05
France,1990,100.0,21793.84265,276178000000.0,547566.0156,76.6,0.5086865939999999,9330327.0,58235697.0,5.0,97.84966999999999,25.944000000000003
France,1991,100.0,21675.06425,274783000000.0,547566.0156,76.84878049,0.554158664,9366009.0,58559311.0,5.0,97.73137,25.771
France,1992,100.0,23813.71184,289558000000.0,547566.0156,77.1,0.497240931,9401876.0,58851217.0,5.0,,25.599
France,1993,100.0,22380.10396,252824000000.0,547566.0156,77.3,0.433292244,9437781.0,59106768.0,5.0,,25.428
France,1994,100.0,23496.52332,281109000000.0,547566.0156,77.64878049,0.37223150299999996,9473873.0,59327192.0,5.0,,25.256999999999998
France,1995,100.0,26890.21988,336601000000.0,547566.0156,77.75121951,0.361249895,9510103.0,59541899.0,5.0,,25.088
France,1996,100.0,26871.829019999997,341586000000.0,547566.0156,77.95365854,0.354082271,9546522.0,59753100.0,5.0,,24.918000000000003
France,1997,100.0,24228.94235,327049000000.0,547566.0156,78.30487805,0.353750159,9582980.0,59964851.0,5.0,,24.75
France,1998,100.0,24974.2722,351431000000.0,547566.0156,78.60487805,0.368597839,9619628.0,60186288.0,5.0,,24.583000000000002
France,1999,100.0,24673.198969999998,353524000000.0,547566.0156,78.75609756,0.514456335,9666887.0,60496718.0,5.0,,24.386
France,2000,100.0,22364.02939,371434000000.0,547566.9922,79.05609756,0.684929254,9736538.0,60912500.0,5.0,,24.129
France,2001,100.0,22433.55571,367426000000.0,547566.9922,79.15853659,0.727786405,9806497.0,61357430.0,5.0,,23.873
France,2002,100.0,24177.33517,381655000000.0,547566.9922,79.26097561,0.727231515,9877056.0,61805267.0,5.0,,23.62
France,2003,100.0,29568.38595,454339000000.0,547866.9922,79.11463415,0.7087791990000001,9948123.0,62244886.0,5.0,,23.368000000000002
France,2004,100.0,33741.26515,538587000000.0,547566.9922,80.16341463,0.7363135409999999,10019801.0,62704895.0,5.0,,23.116999999999997
Germany,1960,,,,,69.31002439,,3259833.0,72814900.0,,,28.616
