type,post_message,link,link_domain,post_published,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb
status,Don t forget to post your photographs from heritage weekend  of you having a good time on here please.,,,2017-09-09T13:57:14+0000,5,1,5,0,6
status,If you want to learn about Historic Coventry this Saturday we will be carrying out a guided tour around the Medieval Wall of Coventry. Booking details below,,,2017-08-31T17:36:47+0000,7,12,7,0,19
event,3 more dates for September Tours of The Medieval City Wall Below. Saturday 16th  23  rd and 30th https://www.facebook.com/events/1935828209971181/?ti=icl,https://www.facebook.com/events/1935828209971181/,facebook.com,2017-09-05T10:46:45+0000,2,0,2,0,2
link,http://www.coventrytelegraph.net/whats-on/arts-culture-news/majestic-medieval-hall-coventrys-best-13448249,http://www.coventrytelegraph.net/whats-on/arts-culture-news/majestic-medieval-hall-coventrys-best-13448249,coventrytelegraph.net,2017-08-14T08:56:04+0000,9,2,10,4,16
status,Different angle of St Michaels,,,2017-08-26T09:04:35+0000,11,0,12,0,12
link,The Heritage Open Days are taking place from 7-10 September  with venues opening their doors and giving access to areas not normally open to the public - and now is the time to book a tour. As in previous years  there are some very interesting and unique tours taking place.   Make sure you don’t miss out on these by checking booking details online and booking your place.  Tours that need pre booking include: Medieval City Wall; BBC Coventry and Warwickshire Radio; Priory Undercroft and Visitor Centre; King Henry VIII School; Coventry Solihull Waste Disposal Ltd; and Coventry Central Library behind the scenes tour.  A Heritage Open Days brochure will be available from Council buildings  The Herbert  Coventry Cathedral and libraries from Wednesday (23 August).  For more details  visit the website www.coventry.gov.uk/hod.,http://www.coventry.gov.uk/hod,coventry.gov.uk,2017-08-21T10:26:52+0000,10,0,10,13,23
status,Hi thanks to be able to share here & be part of tnis group ; Good to kbow iof yt area as going down soon with Natiomal Trust centre from Glasgow,,,2017-08-17T08:36:07+0000,1,8,1,0,9
link,http://www.coventrytelegraph.net/whats-on/whats-on-news/future-coventrys-albany-theatre-been-13477790,http://www.coventrytelegraph.net/whats-on/whats-on-news/future-coventrys-albany-theatre-been-13477790,coventrytelegraph.net,2017-08-17T09:14:59+0000,8,1,9,1,11
photo,https://www.facebook.com/peter.garbett.9/posts/1769150796433812  Sad we are loosing this museum visit it whilst you can,https://www.facebook.com/photo.php?fbid=1280170205424760&set=gm.1921178978100268&type=3,facebook.com,2017-08-10T11:49:47+0000,2,1,2,0,3
link,https://www.facebook.com/CoventryPVC/posts/859986554155927,http://www.crowdfunder.co.uk/coventry-priory,crowdfunder.co.uk,2017-08-07T21:13:46+0000,6,1,6,0,7
photo,Looking good in the sunshine.. https://www.facebook.com/visitcoventry.net/posts/501006916915750,https://www.facebook.com/visitcoventry.net/photos/a.373019843047792.1073741829.361929627490147/501006773582431/?type=3,facebook.com,2017-08-06T21:25:32+0000,8,0,8,1,9
status,Best unique Pubs Whats your favourite pubs and why? in Coventry and surrounding areas.,,,2017-07-19T08:35:49+0000,0,7,0,0,7
status,Thank you for letting me join your group,,,2017-07-19T14:30:58+0000,1,1,1,0,2
link,https://www.facebook.com/theprideofwillenhall/posts/1378187435629358,http://www.coventrytelegraph.net/whats-on/whats-on-news/worlds-longest-inflatable-obstacle-course-13346712,coventrytelegraph.net,2017-07-19T08:23:55+0000,0,0,0,0,0
link,https://www.facebook.com/peter.garbett.9/posts/1740635729285319  Coventry shortlisted!,https://coventry2021.co.uk/news/?is_mobile=1,coventry2021.co.uk,2017-07-15T18:04:34+0000,2,0,2,0,2
photo,Nice. https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/489764101373365/?type=3,https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/489764101373365/?type=3,facebook.com,2017-07-13T22:06:20+0000,3,0,3,0,3
photo,I ve always wanted to have a nose down this passageway..  https://www.facebook.com/visitcoventry.net/posts/487218148294627,https://www.facebook.com/visitcoventry.net/photos/a.373019843047792.1073741829.361929627490147/487215948294847/?type=3,facebook.com,2017-07-09T12:21:01+0000,11,1,11,0,12
link,http://www.coventrytelegraph.net/whats-on/music-nightlife-news/what-godiva-festival-weather-forecast-13275038,http://www.coventrytelegraph.net/whats-on/music-nightlife-news/what-godiva-festival-weather-forecast-13275038,coventrytelegraph.net,2017-07-08T08:39:38+0000,1,0,1,0,1
video,Looks like a great idea.,https://www.facebook.com/stmarysguildhall/videos/10156233759843475/,facebook.com,2017-07-07T15:28:24+0000,7,0,9,2,11
photo,Lovely pic.. https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/483673398649102/?type=3,https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/483673398649102/?type=3,facebook.com,2017-07-02T08:41:08+0000,15,2,16,1,19
status,What is your favourite restaurant or eatery in Coventry area?,,,2017-06-29T08:55:29+0000,3,35,3,0,38
photo,Interesting.. https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/481529385530170/?type=3,https://www.facebook.com/visitcoventry.net/photos/a.363722627310847.1073741828.361929627490147/481529385530170/?type=3,facebook.com,2017-06-29T05:32:53+0000,9,0,9,0,9
link,https://www.facebook.com/BerkswellWindmill/posts/1322847697832828,https://www.facebook.com/BerkswellWindmill/posts/1322847697832828,facebook.com,2017-06-26T18:24:47+0000,0,0,0,0,0
status,Just saw a post about people that made me think would almost be a great motto for our fabulous city.   Let go of what s gone. Be grateful for (and save) what remains. Look forward to what is coming. ,,,2017-06-25T17:17:12+0000,4,2,5,0,7
event,Why not make a weekend of it? It s Jaguar Super Saturday! In aid of Air Ambulance  details on joining below  if you own a Jaguar! This year there will be a  timeline  of cars from oldest to newest  many built at Browns Lane!,https://www.facebook.com/events/201361447045208/,facebook.com,2017-06-22T19:27:54+0000,2,0,2,0,2
event,:) we have a wonderful collection of exciting Citroen motorcars at the Museum on Sunday  if you own a Citroen you re welcome to come along with your car 10-4pm it s FREE and you may be given a leaflet about the car club! Any Citroen can come along  old or new  thank you :),https://www.facebook.com/events/362084697478113/,facebook.com,2017-06-22T19:23:49+0000,1,0,1,0,1
event,City Wall Guided Costume Tour this Saturday meeting at 2pm at Priory Visitors Centre ( behind Nando s  Trinity Street) with the Deep Fat Friar https://www.facebook.com/events/313502545772268/?ti=icl,https://www.facebook.com/events/313502545772268/,facebook.com,2017-06-22T19:20:55+0000,6,0,6,1,7
link,https://www.facebook.com/BerkswellWindmill/posts/1322847697832828,https://www.facebook.com/BerkswellWindmill/posts/1322847697832828,facebook.com,2017-06-22T16:59:56+0000,1,0,1,0,1
